Product_name,Type,Product_url,Product_reviews,Product_ratings,Product_price
"ATX PC Case, 3 x 120mm Fans Pre-Installed, 360MM RAD Support, 270° Full View Tempered Glass Gaming PC Case with Type-C, Mid Tower ATX Computer Case, Black, Y6",pc+case,https://www.amazon.com/MUSETEX-Pre-Installed-Support-Tempered-Computer/dp/B0CP7SQ58Z/ref=sr_1_8?crid=3TXP1EHXO96V1&keywords=pc+case&qid=1706748181&sprefix=graphics+car%2Caps%2C288&sr=8-8&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,3501,4.4 out of 5 stars,$79.99
O11 Vision White Aluminum/Steel/Tempered Glass ATX Mid Tower Computer Case White - O11VW.US,pc+case,https://www.amazon.com/Lian-Li-O11-Vision-White/dp/B0CPL7HZX1/ref=sr_1_9?crid=3TXP1EHXO96V1&keywords=pc+case&qid=1706748181&sprefix=graphics+car%2Caps%2C288&sr=8-9&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,833,4.8 out of 5 stars,$149.99
"NX Series NX500M, Mesh Front Panel, Type-C 3.2 Gen2 Ready, 1 x 120mm Fan Included, Tempered Glass Side Panels, 360mm Radiator Support, Mini-Tower M-ATX Gaming Case",pc+case,https://www.amazon.com/Included-Tempered-Radiator-Support-Mini-Tower/dp/B0BYJ68JZL/ref=sr_1_10?crid=3TXP1EHXO96V1&keywords=pc+case&qid=1706748181&sprefix=graphics+car%2Caps%2C288&sr=8-10&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,592,4.5 out of 5 stars,$59.99
"b-Voguish Gaming PC Case with Tempered Glass panels, USB3.0, Support E-ATX, ATX, mATX, ITX. (Fans are sold separately)",pc+case,https://www.amazon.com/Bgears-b-Voguish-Tempered-Support-Motherboard/dp/B07T4W3BMH/ref=sr_1_11?crid=3TXP1EHXO96V1&keywords=pc+case&qid=1706748181&sprefix=graphics+car%2Caps%2C288&sr=8-11&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,1497,4.2 out of 5 stars,$57.99
"White PC CASE ATX 5 PWM ARGB Fans Pre-Installed, USB 3.0 Mid Tower Computer Case with Full View Dual Tempered Glass, Gaming PC Case,G800",pc+case,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NjYxODMwMTU4MzIxMDMxOjE3MDY3NDgxODE6c3BfbXRmOjMwMDEyODE2NzQ0MDUwMjo6MDo6&url=%2FKEDIERS-Pre-Installed-Computer-Tempered-G800%2Fdp%2FB0CQM9BG5W%2Fref%3Dsr_1_12_sspa%3Fcrid%3D3TXP1EHXO96V1%26keywords%3Dpc%2Bcase%26qid%3D1706748181%26sprefix%3Dgraphics%2Bcar%252Caps%252C288%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,2,5.0 out of 5 stars,$89.99
Mid-Tower PC Gaming Case – Tempered Glass Side Panel – 4 x 120mm aRGB Fan – Liquid Cooling Support up to 240mm Radiator x 1 – MAG Forge 112R,pc+case,https://www.amazon.com/MSI-Mid-Tower-PC-Gaming-Case/dp/B0BZBWSXKH/ref=sr_1_13?crid=3TXP1EHXO96V1&keywords=pc+case&qid=1706748181&sprefix=graphics+car%2Caps%2C288&sr=8-13&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,1124,4.6 out of 5 stars,$69.99
"Micro ATX PC Case, Gaming Computer Case with Opening Tempered Glass Panel, 2 Magnet Dust Filters, USB 3.0 I/O Port, Gaming PC Case Without Fans",pc+case,https://www.amazon.com/GIM-Computer-Opening-Tempered-Filters/dp/B0C6ZVHF2N/ref=sr_1_14?crid=3TXP1EHXO96V1&keywords=pc+case&qid=1706748181&sprefix=graphics+car%2Caps%2C288&sr=8-14&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,18,4.6 out of 5 stars,$50.99
"X3 Mesh 6pcs, 3 x 140mm& 3 x 120mm Fixed RGB Lighting Fans ATX Mid-Tower PC Gaming Case, USB3.0, Door Open Tempered Glass Side Panel, High Airflow, Black",pc+case,https://www.amazon.com/Montech-X3-Lighting-Mid-Tower-Tempered/dp/B09246FCTZ/ref=sr_1_15?crid=3TXP1EHXO96V1&keywords=pc+case&qid=1706748181&sprefix=graphics+car%2Caps%2C288&sr=8-15&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,633,4.5 out of 5 stars,$54.89
"Performance Series P20C White, Massive Metal Mesh Front Panel, 3 x 120mm PWM White Fans, Type-C 3.2 Gen2 Ready, 2 x 360 mm Radiator Simultaneously, GPU Bracket, Mid-Tower E-ATX PC Case",pc+case,https://www.amazon.com/Antec-Performance-Radiator-Simultaneously-Mid-Tower/dp/B0BYHM3SVC/ref=sr_1_16?crid=3TXP1EHXO96V1&keywords=pc+case&qid=1706748181&sprefix=graphics+car%2Caps%2C288&sr=8-16&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,367,4.7 out of 5 stars,$89.99
"PC Case Pre-Install 6 PWM ARGB Cases Fans, ATX Mid Tower Gaming Case with Opening Tempered Glass Side Panel Door, Mesh Computer Case,Black",pc+case,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NjYxODMwMTU4MzIxMDMxOjE3MDY3NDgxODE6c3BfbXRmOjMwMDEyMTU0NzQ5NDQwMjo6MDo6&url=%2FKEDIERS-Pre-Install-Opening-Tempered-Computer%2Fdp%2FB0CL573WMC%2Fref%3Dsr_1_17_sspa%3Fcrid%3D3TXP1EHXO96V1%26keywords%3Dpc%2Bcase%26qid%3D1706748181%26sprefix%3Dgraphics%2Bcar%252Caps%252C288%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&linkCode=ll1&#tag=amazonaff0d66-20&linkId=aa5916b14d7bd406819cdd5bc4dd285a&language=en_US&ref_=as_li_ss_tl,42,4.0 out of 5 stars,$69.99
